file,tweet,sent,tokenized
text-query-tweets2021-04-29.json,"Can anyone share how they have used https://t.co/EDXuN7DGIs for academic project/workload management?  This does involve teams, but also staying on top fo solo writing progress from literature review to responding to peer review.  Thanks!!   @AcademicChatter #AcademicChatter",Positive,can anyone share how they have use http //t.co/edxun7dgis for academic project/workload management this do involve team but also stay on top fo solo write progress from literature review to respond to peer review thanks academicchatter academicchatter
text-query-tweets2021-04-29.json,📡 🚀https://t.co/AgVip5t36q lance deux solutions dédiées au marketing et à la gestion de projet 💡 #ZirigozaGroup #e-commerce #marketing #ENKIL.es #8020 🔔 https://t.co/FRabw48if8,Negative,📡 🚀https //t.co/agvip5t36q lance deux solution dédiées au marketing et à la gestion de projet 💡 zirigozagroup e-commerce marketing enkil.es 8020 🔔 http //t.co/frabw48if8
text-query-tweets2021-04-29.json,"@jmhenner I started using https://t.co/EDXuN7DGIs. I have four boards in my workspace: research, service, teaching, conference/travel, tenure portfolio. Within those, I have ""folders"" e.g, my teaching workspace has 3 classes I am teaching.  Then each class has lines that show tasks...",Positive,jmhenner i start use http //t.co/edxun7dgis i have four board in my workspace research service teaching conference/travel tenure portfolio within those i have `` folder '' e.g my teach workspace have 3 class i be teach then each class have line that show task ...
text-query-tweets2021-04-29.json,@jehicks2 👋 Let us know if you need help getting started on a trial to learn all that https://t.co/Ba0uUEo5an has to offer!,Positive,jehicks2 👋 let us know if you need help get start on a trial to learn all that http //t.co/ba0uueo5an have to offer
text-query-tweets2021-04-29.json,"Streamline your Administrative processes with 
https://t.co/GJfVmXBpAI",Positive,streamline your administrative process with http //t.co/gjfvmxbpai
text-query-tweets2021-04-29.json,"Alooou CAPTT

Bora participar da liga do Cartola de Athleticanos pra ganhar uma Black Edition?

Inscrição R$20, Com prêmio TOP. Se inscreve aí:

https://t.co/iSzobJLHyL",Positive,alooou captt bora participar da liga do cartola de athleticanos pra ganhar uma black edition inscrição r 20 com prêmio top se inscreve aí http //t.co/iszobjlhyl
text-query-tweets2021-04-29.json,"Submit your favorite recipes and we'll enter your name in a raffle for some stellar prizes. Once we wrap up our contest, we'll make sure to share out our TMC Family Cookbook. Let's get cookin'! 
https://t.co/hWDhVxXNZ2

#TMCFamily #PoweroftheNetwork #cookbook #recipes https://t.co/tLBG5Odzo3",Positive,submit your favorite recipe and we 'll enter your name in a raffle for some stellar prize once we wrap up our contest we 'll make sure to share out our tmc family cookbook let 's get cookin http //t.co/hwdhvxxnz2 tmcfamily powerofthenetwork cookbook recipe http //t.co/tlbg5odzo3
text-query-tweets2021-04-29.json,@TundeTASH People don’t really know about https://t.co/AmrMFWkiQD,Negative,tundetash people don ’ t really know about http //t.co/amrmfwkiqd
text-query-tweets2021-04-29.json,@TundeTASH https://t.co/IgNNMW6Bpf,Negative,tundetash http //t.co/ignnmw6bpf
text-query-tweets2021-04-29.json,"RECOMENDACION: ✅
https://t.co/P7nHcJUmg9",Negative,recomendacion ✅ http //t.co/p7nhcjumg9
text-query-tweets2021-04-29.json,Assisti Monday com o Sebastian Stan e nunca imaginei que veria o moço pelado em tantas cenas (inclusive o pirulito),Positive,assisti monday com o sebastian stan e nunca imaginei que veria o moço pelado em tantas cenas inclusive o pirulito
text-query-tweets2021-04-29.json,https://t.co/S1eIyzWVUF lance deux solutions dédiées au marketing et à la gestion de projet https://t.co/7ULoY2L0ZD https://t.co/MtzuYnu8UM,Negative,http //t.co/s1eiyzwvuf lance deux solution dédiées au marketing et à la gestion de projet http //t.co/7uloy2l0zd http //t.co/mtzuynu8um
text-query-tweets2021-04-29.json,"We've all been there. A customer stops engaging, what do I do now? Dan Ennis from https://t.co/HBiq7SmYll shared some ideas with us! #CSMSummit #CustomerSuccess #Saas https://t.co/UVMB7oJKm3",Positive,we 've all be there a customer stop engaging what do i do now dan ennis from http //t.co/hbiq7smyll share some idea with us csmsummit customersuccess saas http //t.co/uvmb7ojkm3
text-query-tweets2021-04-29.json,"Dan Ennis from https://t.co/OPYi5j6lqH is giving us tons of great ideas on how to build out a re-engagement strategy. ""Re-Engagement execution boils down to three principles: Lead with value, experiment like crazy, and be persistent... Find ways to surprise them into responding.""",Positive,dan ennis from http //t.co/opyi5j6lqh be give us ton of great idea on how to build out a re-engagement strategy `` re-engagement execution boil down to three principle lead with value experiment like crazy and be persistent ... find way to surprise them into respond ''
text-query-tweets2021-04-29.json,"@JustKimOnline We do 👋 Shoot us a DM and we'd love to help get you started on a trial, to see everything https://t.co/Ba0uUEo5an is capable of!",Positive,justkimonline we do 👋 shoot us a dm and we 'd love to help get you start on a trial to see everything http //t.co/ba0uueo5an be capable of
text-query-tweets2021-04-29.json,"@jmhenner @RutiRegan I've been using https://t.co/1iTiESpK0X. It's more expensive than I'd like, but it's really working to keep stuff together for our team.",Negative,jmhenner rutiregan i 've be use http //t.co/1itiespk0x it 's more expensive than i 'd like but it 's really work to keep stuff together for our team
text-query-tweets2021-04-29.json,https://t.co/5c0E4oMHS4 lance deux solutions dédiées au #Marketing et à la gestion de projet https://t.co/tdLQNpwXJe via @siecledigital,Negative,http //t.co/5c0e4omhs4 lance deux solution dédiées au marketing et à la gestion de projet http //t.co/tdlqnpwxje via siecledigital
text-query-tweets2021-04-29.json,"In my brief experience to use https://t.co/At4jWyF61D, I'm really surprised to see many pitfalls in the user experience. Some are real dealbreakers.",Positive,in my brief experience to use http //t.co/at4jwyf61d i 'm really surprised to see many pitfall in the user experience some be real dealbreakers
text-query-tweets2021-04-29.json,https://t.co/90zzFAXRQV is a good platform for remote work,Positive,http //t.co/90zzfaxrqv be a good platform for remote work
text-query-tweets2021-04-29.json,https://t.co/f6z52S5CJ6 lance deux solutions dédiées au marketing et à la gestion de projet https://t.co/x6FVvwInAS,Negative,http //t.co/f6z52s5cj6 lance deux solution dédiées au marketing et à la gestion de projet http //t.co/x6fvvwinas
text-query-tweets2021-04-29.json,https://t.co/s6w3MsQPJ4 lance deux solutions dédiées au marketing et à la gestion de projet https://t.co/GxIuIgtYy0,Negative,http //t.co/s6w3msqpj4 lance deux solution dédiées au marketing et à la gestion de projet http //t.co/gxiuigtyy0
text-query-tweets2021-04-29.json,https://t.co/Iz9DMmDKIk Launches Solutions as Major New Offering of Work OS https://t.co/MZuDQOEWU2,Negative,http //t.co/iz9dmmdkik launches solutions as major new offering of work os http //t.co/mzudqoewu2
text-query-tweets2021-04-29.json,https://t.co/M9hZVGfrOZ Launches Solutions as Major New Offering of Work OS https://t.co/x0194BH2sn,Negative,http //t.co/m9hzvgfroz launches solutions as major new offering of work os http //t.co/x0194bh2sn
text-query-tweets2021-04-29.json,https://t.co/VyU7TW4sar lance deux solutions dédiées au marketing et à la gestion de projet https://t.co/ECu8JmJNHc https://t.co/DKmaGwxeHt,Negative,http //t.co/vyu7tw4sar lance deux solution dédiées au marketing et à la gestion de projet http //t.co/ecu8jmjnhc http //t.co/dkmagwxeht
text-query-tweets2021-04-29.json,https://t.co/PXmteR6IzJ lance deux solutions dédiées au marketing et à la gestion de projet https://t.co/gWgJIyZjUB #OUTILS #Collaboratif https://t.co/oab9DYWg83,Negative,http //t.co/pxmter6izj lance deux solution dédiées au marketing et à la gestion de projet http //t.co/gwgjiyzjub outils collaboratif http //t.co/oab9dywg83
text-query-tweets2021-04-29.json,https://t.co/AMdIOuHp7N lance deux solutions dédiées au marketing et à la gestion de projet https://t.co/zhxgMGuP3Q,Negative,http //t.co/amdiouhp7n lance deux solution dédiées au marketing et à la gestion de projet http //t.co/zhxgmgup3q
text-query-tweets2021-04-29.json,"L’entreprise lance Solutions, une toute nouvelle offre complète d'outils de gestion du travail pré-conçus et sur mesure pour des industries verticaux. https://t.co/CcRDtoQQsR",Negative,l ’ entreprise lance solutions une toute nouvelle offre complète d'outils de gestion du travail pré-conçus et sur mesure pour de industry verticaux http //t.co/ccrdtoqqsr
text-query-tweets2021-04-29.json,https://t.co/TYjIqBsCAz lance deux solutions dédiées au marketing et à la gestion de projet https://t.co/Sjq7i9bRZ0,Negative,http //t.co/tyjiqbscaz lance deux solution dédiées au marketing et à la gestion de projet http //t.co/sjq7i9brz0
text-query-tweets2021-04-29.json,https://t.co/oCB3KuI5Mn lance deux solutions dédiées au marketing et à la gestion de projet https://t.co/HV4SO7z2SJ #OUTILS #Collaboratif https://t.co/k4Hv2108Ix,Negative,http //t.co/ocb3kui5mn lance deux solution dédiées au marketing et à la gestion de projet http //t.co/hv4so7z2sj outils collaboratif http //t.co/k4hv2108ix
text-query-tweets2021-04-29.json,https://t.co/bMVPT8tIqy lance deux solutions dédiées au marketing et à la gestion de projet https://t.co/BAmYA8uQ9X via @siecledigital,Negative,http //t.co/bmvpt8tiqy lance deux solution dédiées au marketing et à la gestion de projet http //t.co/bamya8uq9x via siecledigital
text-query-tweets2021-04-29.json,How To Use ClickUp | Free Project Management Alternative to https://t.co/vALbxbDCD8 (ClickUp Tutorial) #Sales #Entrepreneurship #BusinessTips #SmallBusiness [Video] https://t.co/xVsRVtaYFI,Positive,how to use clickup free project management alternative to https //t.co/valbxbdcd8 clickup tutorial sales entrepreneurship businesstips smallbusiness video http //t.co/xvsrvtayfi
text-query-tweets2021-04-29.json,@amaliaefowler @basecamp Give https://t.co/vIgt7ihePu a spin. We switched from Basecamp a few years ago and it's a huge leap forward.,Positive,amaliaefowler basecamp give http //t.co/vigt7ihepu a spin we switch from basecamp a few year ago and it 's a huge leap forward
text-query-tweets2021-04-29.json,"本当の口コミシリーズ

https://t.co/8g3oPaef1Kの本当の口コミ/評判。おすすめ企業や料金、使い勝手を紹介
https://t.co/pjWCp8nTEC",Negative,本当の口コミシリーズ http //t.co/8g3opaef1kの本当の口コミ/評判。おすすめ企業や料金、使い勝手を紹介 http //t.co/pjwcp8ntec
text-query-tweets2021-04-09.json,".@TimJDillon I get that #betterhelp are advertising on ur pod, but #monday.com - that's for businessfolks. Who in ur crowd has a big organization that needs a new IT infrastructure?? Love the podcast. ur a genius.",Negative,timjdillon i get that betterhelp be advertise on ur pod but monday.com that 's for businessfolks who in ur crowd have a big organization that need a new it infrastructure love the podcast ur a genius
text-query-tweets2021-04-09.json,"Oigan que feo es https://t.co/xHuLJBV4c5 
O soy el único que lo odia?",Negative,oigan que feo e http //t.co/xhuljbv4c5 o soy el único que lo odia
text-query-tweets2021-04-09.json,"It's perhaps the best project management tools available on the market today. 

https://t.co/HqW7wE9JYv",Positive,it 's perhaps the best project management tool available on the market today http //t.co/hqw7we9jyv
text-query-tweets2021-04-09.json,I’ve used https://t.co/5SXGvv8NJQ and now have lost all confidence in tools that were originally meant to make me more productive. But instead have given agency to others to lop stuff for you to do. Where are the tools for creating boundaries!,Positive,i ’ ve use http //t.co/5sxgvv8njq and now have lose all confidence in tool that be originally mean to make me more productive but instead have give agency to others to lop stuff for you to do where be the tool for create boundary
text-query-tweets2021-04-09.json,"looking at the projects that i added on https://t.co/B7npwK3rNm is causing me to have this strange feeling.

i wanna say it’s anxiety but i don’t wanna offend anybody",Negative,look at the project that i add on http //t.co/b7npwk3rnm be cause me to have this strange feeling i wan na say it ’ s anxiety but i don ’ t wan na offend anybody
text-query-tweets2021-04-09.json,"⚠️ Hoy más que nunca tenemos que capacitarnos para reinvertarnos.

#Atención Industria de bodas y eventos de #GTO ✍️ los invitamos al curso gratuito de capacitación ""Descodificación y Reingeniería para el negocio de bodas y eventos""

Inscríbete 👇 
https://t.co/zjJYYZgrV4 https://t.co/7Gar2z1fIz",Negative,⚠️ hoy más que nunca tenemos que capacitarnos para reinvertarnos atención industria de bodas y eventos de gto ✍️ los invitamos al curso gratuito de capacitación `` descodificación y reingeniería para el negocio de bodas y eventos '' inscríbete 👇 http //t.co/zjjyyzgrv4 http //t.co/7gar2z1fiz
text-query-tweets2021-04-09.json,"Yep! You heard that right, just 0️⃣3️⃣ days left to apply for our #summerinternships! Snag one of our three #marketing positions &amp; get an edge over your peers! 

Apply here! 🔥
https://t.co/H6euVdwck5 https://t.co/sR3j5N7doh",Positive,yep you hear that right just 0️⃣3️⃣ day leave to apply for our summerinternships snag one of our three market position amp get an edge over your peer apply here 🔥 http //t.co/h6euvdwck5 http //t.co/sr3j5n7doh
text-query-tweets2021-04-09.json,Shout out to our amazing https://t.co/Ba0uUEo5an users 🔊. Anyone want to chime in and help!?,Positive,shout out to our amazing http //t.co/ba0uueo5an user 🔊 anyone want to chime in and help
text-query-tweets2021-04-09.json,https://t.co/BaR0VpKJto's new advanced #filters are powerful additional tools for project management. Conditional filtering gives our #scheduling team detailed #snapshots of projects at all stages and helps the team manage their own workload across projects. https://t.co/k9hgz5gheJ,Negative,http //t.co/bar0vpkjto 's new advanced filter be powerful additional tool for project management conditional filtering give our schedule team detail snapshot of project at all stage and help the team manage their own workload across project http //t.co/k9hgz5ghej
text-query-tweets2021-04-09.json,"@Bellatrixed @CamburgBahnhof That’s an idea. I toyed with https://t.co/ONVzOWqAgX, and have Project at work, but haven’t yet found the right e-tool to help me cope. What worked, pre-lockdown, was meeting with Frau H every Thursday lunchtime to go through the post and bills and sort things out.",Negative,bellatrixed camburgbahnhof that ’ s an idea i toy with http //t.co/onvzowqagx and have project at work but haven ’ t yet find the right e-tool to help me cope what work pre-lockdown be meet with frau h every thursday lunchtime to go through the post and bill and sort thing out
text-query-tweets2021-04-09.json,"Para receber notícias sobre mineração, faça parte da nossa lista de transmissão.

O passo a passo é simples e envolve apenas duas etapas. Confira.

Link do Formulário:
https://t.co/3uQK908Sth

#igneabr #mineracao #mineração #geologia #geólogo #anm https://t.co/8Xc5RUb3yF",Negative,para receber notícias sobre mineração faça parte da nossa lista de transmissão o passo a passo é simple e envolve apenas duas etapas confira link do formulário http //t.co/3uqk908sth igneabr mineracao mineração geologia geólogo anm http //t.co/8xc5rub3yf
text-query-tweets2021-04-09.json,@modnar404 Based on Kyle's opinion! But here is a 3rd party non-biased review to back it up: https://t.co/eQQZjF5u5w,Positive,modnar404 based on kyle 's opinion but here be a 3rd party non-biased review to back it up http //t.co/eqqzjf5u5w
text-query-tweets2021-04-09.json,"🎧 SaaStr Podcast #441 with @mondaydotcom Co-Founders &amp; Co-CEOs Roy Mann and @zzeran:
""The Top 5 Mistakes Scaling with Monday. com""
 
👉 Apple Podcasts: https://t.co/xvoMlYsqff

👉 Spotify: https://t.co/nXiEq5z6v2 https://t.co/p03ETxEh21",Positive,🎧 saastr podcast 441 with mondaydotcom co-founders amp co-ceos roy mann and zzeran '' the top 5 mistakes scaling with monday com '' 👉 apple podcasts http //t.co/xvomlysqff 👉 spotify http //t.co/nxieq5z6v2 http //t.co/p03etxeh21
text-query-tweets2021-04-09.json,"Wondering if your start-up is eligible to apply for the France-SA Cross-Acceleration programme? 

Q &amp;A session 
16 April 2021 
12:30-13:30 

RSVP: https://t.co/CRJ9hNNBrm

Programme information: https://t.co/6hXZEY0hvD https://t.co/p1VgstDNUe",Positive,wondering if your start-up be eligible to apply for the france-sa cross-acceleration programme q amp a session 16 april 2021 12:30-13:30 rsvp http //t.co/crj9hnnbrm programme information http //t.co/6hxzey0hvd http //t.co/p1vgstdnue
text-query-tweets2021-04-09.json,"Join us tonight at 7PM for a webinar hosted by Modul University's Entrepreneurship Club with speaker Nadia Boersch; an entrepreneur &amp; multi-faceted brand and marketing consultant who's held leading positions in Uber, Phillip Morris and Nestle

RSVP: https://t.co/3IXlveYcD8 https://t.co/B7TFWW7Bs6",Positive,join us tonight at 7pm for a webinar host by modul university 's entrepreneurship club with speaker nadia boersch an entrepreneur amp multi-faceted brand and marketing consultant who 's hold leading position in uber phillip morris and nestle rsvp http //t.co/3ixlveycd8 http //t.co/b7tfww7bs6
text-query-tweets2021-04-09.json,"Mailchimp'i https://t.co/Rc9QqNSbwX ile entegre edin ve e- posta listelerinizi anında güncelleyin, potansiyel müşterileri ve aboneleri senkronize edin, gönderilen kampanyalarla ilgili bildirimleri ve istatistikleri direkt panonuzun içinden alın! 🎉

https://t.co/zzlTRXhUdC https://t.co/hTBjsFc0Hr",Negative,mailchimp i http //t.co/rc9qqnsbwx ile entegre edin ve e- posta listelerinizi anında güncelleyin potansiyel müşterileri ve aboneleri senkronize edin gönderilen kampanyalarla ilgili bildirimleri ve istatistikleri direkt panonuzun içinden alın 🎉 http //t.co/zzltrxhudc http //t.co/htbjsfc0hr
